reward
11.0
17.84
46.28
52.8
87.72
83.16
117.4
102.64
103.68
167.24
97.48
119.28
151.04
161.32
124.0
103.16
155.32
126.76
168.44
203.88
148.92
134.64
125.84
159.72
112.2
120.88
117.36
117.64
182.6
144.32
175.68
145.72
151.76
133.0
139.64
119.6
169.24
187.12
154.32
151.92
126.2
120.68
207.24
154.6
126.68
126.84
114.72
146.68
153.64
141.72
